id,dialogue
13820399,"Amanda: When are they going to finish the redecoration?
John: next month
Alexis: Have you talked to them John?
John: that's the contract we have
Alexis: but it seems they are late with works, I can't imagine it will be ready in two weeks
Amanda: exactly
John: ok, I will talk to them
John: but they know that any delay will cost them a lot
Amanda: i don't see the need to put pressure on them, maybe they have some problems
Amanda: It's just about planning, I don't want the scaffoldings to be there during the wedding
John: they have to finish by the end of February
Alexis: I would be harsh with them
Alexis: we pay them a little fortune
Alexis: so I also expect quality and efficiency 
Amanda: mom, you can't behave like this to workers, it's ugly and counterproductive 
Alexis: I know how to talk to workers, my dear, I've done it for decades 
John: Ok, I'll talk to them and we will see
Alexis: I can also talk to them and I won't be nice
John: calm down, let's wait to hear what they have to say
Amanda: exactly!"
13862855,"Hope: Hey Rosie
Rosa: Hey girl
Hope: I am planning a nice thursday evening with close friends
Hope: Friday is free so we can stay longer this time
Rosa: Great idea
Rosa: I was thinking of having a night out
Hope: It's actually a night in 🙂
Hope: Evening in my apartament with wine and good music
Rosa: Wonderful
Hope: 🙂
Rosa: I will be there
Rosa: Do you want me to bring something?
Rosa: I can make some apetizers
Hope: As you wish
Hope: I'll be home at 6, so I invited everyone to come after 7pm
Rosa: Awesome
Rosa: I'll be at yours around 7:30
Hope: Happy to hear that
Hope: Take care 🙂
Rosa: See you soon 🙂"
13680758,"Kit: Hey, Sam, did you see the last ep of Game of Thrones?
Sam: Nope, I'm almost a season behind ;(
Kit: Why? I thought you were a fan, even more than me.
Sam: Yeah, but you know...
Kit: Uh huh. Katie? She hates it?
Sam: No! I'm mean yeah, Katie, but it's not like she hates it or something. I couldn't be with a girl who doesn't appreciate GoT :P
Kit: So when are you gonna watch it? Come on, I need someone to discuss it with! I tried talking to Steve, but he wants Jon Snow to get the throne, blah!
Sam: Seriously? But Jon is boooring!
Kit: And his mouth is open all the time :D
Sam: Exactly! I'm telling you, it's going to be Tyrion!
Kit: So are you watching it or not? :P
Sam: I am! I just promised Katie I won't watch it without her, and she has exams next week.
Kit: Can't you just watch it on your own and then pretend you didn't and see it again with her? :D
Sam: Nope, she always knows when I'm lying. I'd rather wait than have a fight about it.
Kit: Coward! :P
Sam: Wait till you find a girlfriend. You'll learn to appreciate peace :P
Kit: You know what? If you don't watch it soon, I'm gonna start spoiling things to you :P Like for example that scene from the last episode when the white walkers came and...
Sam: Shut up!
Kit: LOL, just kidding, bro :D
Sam: I hate you! 
Kit: Hate u too :P
Sam: But did the white walkers really come through the wall?
Kit: Watch it and see for yourself :P
Sam: No, I really hate you now. I'm going to call Katie, don't wait for me :P 
Kit: Bye! XDDD"
13814054-1,"Bill: Hi Tom, did you hear the news? 
Tom: No, what happened? 
Bill: We had a problem at school today.
Tom: You always have problems at school:-)?
Bill: Oh c’mon, this time it was serious. 
Tom: OK, what now?
Bill: Someone cut the tires.
Tom: What tires?
Bill: The tires on the cars.
Tom: Students’ or teacher’s?
Bill: Both :-)
Tom: Where were the cars?
Bill: They were in the parking lot, as always.
Tom: How many tires did they cut?
Bill: One or two tires were cut on each car, my math teacher got all four cut.
Tom: I’m sure he must’ve been really pissed off...
Bill: He went crazy, I tell you. He only bought new tires last month!
Tom: How many cars in total?
Bill: Eleven cars.
Tom: That's terrible. I hope they catch the person.
Bill: they already have. It was one of the last year students who failed  finals. He wanted to take revenge. 
Tom: Yeah, he eventually did ;-)) On himself. "
13715975,"Mike: sorry I'll be late
Darren: I'm already here waiting
Mike: the traffic is terrible
Stella: I've missed my bus
Mike: where are you Stella?
Darren: Lisa are u coming?
Stella: I'll get an uber
Lisa: on my way
Mike: Darren is there any parking space?
Darren: I can see one now 
Mike: Stella where are you now? want me to pick you up
Stella: no thanks just got another bus
Stella: be there in 20min
Darren: the place is almost empty and I'm sitting here like an idiot
Mike: shit, huge accident on 278
Lisa: where are you?
Mike: don't wait for me guys, I'll do my best
Mike: Trinity Park
Darren: is anyone hungry?
Mike: yeah... me
Darren: Lisa's here, we'll order something for you Mike
Mike: ok thanks. pasta please
Stella: shrimps for me please!
Amy: hi guys be there in 15min
Amy: pleeease get me anything, like shrimps as a starter
Amy: im starving!"
13727929,"Hamish: John! Long time, no see! You alright, man?
John: Hamish!! What a blast from the past! It must be at least 20 years.
Hamish: More like 25, mate, back when we both had hair😄
John: Ah, you've seen my Facebook pics, then?
Hamish: Oh yes, right little stalker I am! You still with Ferguson's?
John: Nah, moved on about 15 years ago, now, live in Nottingham now too.
Hamish: Ah, exciting place! 😃 Makes Hull look like a happening city!
John: No, you're still miserable buggers up there, look at Philip Larkin, Paul Heaton etc!
Hamish: Point taken, but who actually comes from Nottingham?
John: Mmm, not sure, D H Lawrence perhaps, will have to check and get back to you. How's the missus?
Hamish: Anna's great, still at the Uni. We've actually got 4 kids now too!
John: Bloody hell, you've been busy! Me and Zoe actually split up 10 years ago and now I'm married to Zara, we've got a 3 year old called Spike.
Hamish: You're kidding? Thought you and Zoe were set for life after Uni, can't believe it. Spike, eh, umm, interesting!
John: He's actually called Stefan, but for some unknown reason, he's known as Spike. We like it, it's wacky!
Hamish: You always did have an odd sense of humour! Still at the charity?
John: No, moved on, like you. I run a homeless shelter in the town, love my job😍
Hamish: Great! Fancy meeting one weekend, catch up etc?
John: Well, weekends are super busy, maybe if I can get some cover I can manage. Will get back to you.
Hamish: Brilliant! Get back to me asap, we can sort something out!
John: Yes! Looking forward to it."
13682360,"Randall: hey, we're thinking of making a trip up to winnipeg for a hockey game? any interest?
Zora: yeah, sounds fun...let me think...
Randall: i guess they have some new bars and restaurants that have opened up recently
Zora: cool...does carlos still live up there? 
Randall: gosh, i dont know. I'll shoot him a quick email. maybe.
Zora: ok. well, anyway, you can count me in. maybe we could stop somewhere for a hike on the way up?
Randall: yeah, maybe. I'll have to run it by the others.
Zora: who else is going?
Randall: just sheila and boris
Zora: cool. who are the jets playing anyway?
Randall: the avalanche. theyre not so hot right now
Zora: so i heard.
Randall: were thinking of going out to eat at this sports bar recommended by boris, then heading over to the arena
Zora: nice. anything else you plan on doing while you're up there
Randall: we're still working things out. sheila has to be back before Friday
Zora: ok. i already i had the week off, so there is no rush for me.
Randall: cool. hey, I just heard back from carlos. hes still living there.
Zora: ok, great. we'll have to try and meet up with him
Randall: definitely. ok, gotta run. will talk more tonight.
Zora: ok bye!"
13728509,"Clara: Hi, what you up to?
Neela: Not much, chilling out.
Clara: Just rewatching Dear White People on Netflix, love it!😍
Neela: Oh yeah, heard of it, but not seen it yet? Any good?
Clara: Well, yes! I just said it was, LOL. It's about a fictional Ivy League University and the students in one House of Residence.
Neela: Why is it called Dear White People?
Clara: That's the name of the radio show the main character, Sam, presents on college radio.
Neela: Yeah, but why is it so good?
Clara: Well, it's mainly stories from the perspective of black students there, which I find very interesting. The characters are strong and likeable too.
Neela: I suppose it's rather different from the UK, then?
Clara: It seems so, as there is a lot more racial awareness and discrimination there than here. It all kicks off when there is a Blackface party held by an elite group of white students, which gets out of hand.
Neela: How's that?
Clara: Well, obviously, the black students try to break it up and there's also an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student. It may be at another party, though, I'm not sure of that.
Neela: Oh, that sounds pretty strong stuff. What else happens?
Clara: Well, there is a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist. He unearths corruption at the uni and he and Sam also uncover some conspiracy theory stuff about secret societies.
Neela: Well, I must say, it does sound good, I'll check it out soon!
Clara: Definitely, there is supposed to be a Series 3 coming up next year, really looking forward to it!
Neela: Well, thanks Clara, I'm just watching the rest of a movie and I'll try Dear White People.
Clara: Don't blame me if you get hooked and stay up till 4!
Neela: See ya, love!
Clara: Bye!"
13830139,"Brad: ave
Brad: what's up?
Damian: hello!
Damian: happy new year!
Brad: likewise, brother!
Damian: :D
Brad: any 'new year new me' resolutions?
Damian: haha perhaps
Damian: i've not had enough time to think everything through yet ;/
Damian: postponing it until my birthday :D
Brad: well, alright
Brad: a man's gotta do what a man's gotta do, am i right
Damian: you sure are!
Damian: :D
Damian: and you? any resolutions?
Brad: not really
Brad: just keep doing my thing you know
Damian: that's fair
Brad: besides, i don't really believe all that
Damian: yeah well, many people do
Damian: it's highly symbolic, so it works for them
Brad: it does? i've never heard of a successful new year's resolution
Damian: yeah me neither xd
Brad: alright i gotta go, speak to you later!
Damian: alright, see you man!"
13728131,"Leila: Hey mom.. 
Mom: Hi darling how are you?
Leila: I am good how are you?
Mom: i am fine how are kids? 
Leila: they are good mom they miss you alot.
Mom: i miss them alot too.. give them my love (k)(K)(K)
Leila: Mom look at this bag  <file_photo> 
Mom: its pretty (thumsup)
Leila: you like it?
Mom: yes its very nice... you bought or you are planning to buy it?
Leila: i already bought it just wanted to be sure that you like it..
Mom: who is it for?
Leila: for you mom..... samantha is leaving tomorrow, i will give her she would give it to you as soon as she reaches.
Mom: awwwww darling...there was no need for it.
Leila: Mom, i just felt like sending you something to show my love.
Mom: baby i know you love me.. and to be honest when we went shopping i had my eyes on it but i didnt buy it thinking i already have so many,
Leila:  i know mom i saw you admiring this bad, so i bought this for you.
Mom: so sweet honey.. i am blessed to have a daughter like you.
Leila: aww mom.. i am so blessed i have a mom like you .. all that you did for me not everyone can do that.
Mom: it was my duty as a mom.. and always remember my dear no matter whatever happens i am always there for you.
Leila: i know mom love you
Mom: love you too darling."
