id,dialogue
13862975,"Owen: Luke
Luke: yeah?
Owen: theres this project
Owen: remember
Owen: i told you about it
Luke: which one
Owen: in Toronto
Luke: this one yep
Owen: i need more volunteers
Luke: they dont pay??
Owen: nope
Owen: but they give you money back
Owen: reimbursement or sth lol
Luke: for what
Owen: for travel costs and acomodation
Luke: cool
Luke: but still
Luke: working for free 🤔
Owen: lemme explain oyu
Owen: you
Owen: its about making good memories, meeting people
Owen: and helping those in need
Luke: sounds interesting
Owen: ima send you the booklter
Owen: booklet
Owen: <file_other>
Luke: thanks
Luke: ill look at it"
13681042,"Tom: Hi :-)
Alan: Hey!
Tom: I've got a question.
Alan: Go on.
Tom: Will you lend me your car?
Alan: Sorry?
Tom: There's something wrong with mine. I can hear some strange noises. It's Sunday. I won't find any garage open today and I need a car.
Alan: Why mine?
Tom: Because I like it. Because you owe me 200 quid and because you are a good man.
Alan: <file_photo>
Tom: A good one. But that's not the answer.
Alan: I need to talk to Sally.
Tom: Is it her car or yours.
Alan: Ours.
Tom: <file_photo>
Alan: Oh, really? You don't win me by sending me such pics.
Tom: Alan, do you like being begged? I wouldn't ask you if my car was ok.
Alan: I'll give you the answer in an hour.
Tom: Ok. Waiting. I hope Sally is in a good mood today.
Alan: I hope so too!
Tom: <file_gif>"
13813278,"Sandra: I met Matt yesterday...
Alice: fuck... 
Alice: where??? o_O
Sandra: At Anna's b-day party.
Alice: wtf, i didn't know they were friends with Anna...
Sandra: Me either...
Sandra: Funny, I had this strange gut feeling to stay at home...
Alice: at least you looked good, I guess XD.
Sandra: yep, but I felt like shit, anyway ;-( :-(
Sandra:  And I got this strange pain in the stomach all of a sudden :-(
Alice: My poor little girl... 
Alice: Did you talk?
Sandra: We had to, he almost bumped into me!
Alice: What did he say?
Sandra: sth like, ""what a lovely surprise"" and then we had this empty small talk and I left soon after, coz luckily it was late.
Sandra: This fucking city is too small! 
Sandra: Dunno what to do, coz I really don't want to meet that jerk again! 
Alice: Shit happens...:/
Alice: I'm sorry...
Sandra: true...
Sandra: ok, i need to go, speak to u later."
13731434,"Sienna: Think Serena will win the Aussie?
Fred: Just hope she doesn't go off on another ref!
Sienna: That was OTT!
Fred: FWIW, I don't disagree with her, but she handled it poorly.
Sienna: Agreed.
Fred: She had to know that the world was watching.
Sienna: Yeah, you don't act up like that when you're a pro.
Fred: Agreed.
Sienna: Anyway, hopefully things go well for her. No grand though.
Fred: No, but that's a hard thing to do!
Sienna: True, but she has before!
Fred: I think her time is done, unfortunately. She's a mommy now!
Sienna: A fierce mommy!
Fred: Yes, but time to retired and let the younger kids do their thing.
Sienna: Maybe...
Fred: What else you doin today?
Sienna: Just hanging out. Didn't have to work so got some stuff done. You?
Fred: Same. Just chillin'.
Sienna: Too bad we didn't get together.
Fred: Free next week?
Sienna: Nah. Going home for x-mas early. Back to work on x-mas eve and all through the holidays.
Fred: That sux!
Sienna: Such is the life of a med student!
Fred: Well, poke me when you're free and we'll meet up. I'm not doing anything over the break.
Sienna: Not going home?
Fred: Nah. Nothing to go back to and can't afford it.
Sienna: Gotcha. We'll see ya'!
Fred: Cya!"
13729776,"Robert: Hi Matt
Matt: Hi!
Robert: How are you doing?
Matt: good, thanks, you?
Robert: good as well
Robert: It was very nice to see you again yesterday, although by chance
Matt: yes, it was quite crazy, I didn't expect to meet you on the subway
Robert: me neither
Matt: Maybe we should meet again, and not on the subway?
Robert: I'd really like to
Matt: When are you free?
Robert: now always on Mondays and Tuesdays
Matt: So maybe Monday evening?
Robert: great
Matt: we could have a dinner together
Robert: let's do it
Matt: Do you want me to pick you up after you're done?
Robert: That would be nice!
Matt: ok, so I'll be there at 7PM
Robert: good!"
13680118,"Caron: ahhh Ive found the Beautiful South on my tidal app
Andy: oh have you darling?
Caron: yes I'm having a few moments
Andy: I bet you are
Andy: they were one of our favourites
Caron: they were
Andy: housemartins first
Caron: yes we played the video over and over remember in that pub in Southampton with the video jukebox
Caron: God how old do we sound video jukebox
Andy: we are old now darling
Caron: lol speak for yourself
Andy: I need to get that tidal app
Caron: yes its good everytime a song jumps in my head I just search for it and I find the whole bloody playlist and I'm having moments all day lol
Andy: you and your moments😂😂
Andy: you are like a marshmallow😂😂
Caron: oh not good near naked flame😁🤦‍♀️
Andy: lol no defo not
Caron: no I am having a good day listening to my music today but I cant type in time to the beat lol
Andy: you kill me
Caron: lol xx"
13680860,"Sally: Happy birthday to you, sweetie!
Martha: Thank you sooo much! ♥
Sally: So how's the day going so far? Any cool presents?
Martha: Yeah, hubby got us theatre tickets for this evening.
Sally: Wow, sounds pretty cool. 
Martha: Yeah, so I thought. Until I realized I have nothing to wear :P
Sally: Oh right. Men never think about these things, do they? 
Martha: Never. He doesn't even get why I'm upset. I mean, I'm not really upset, I'm happy that he got us the tickets, I'm just a bit stressed out. I haven't been to the theatre in ages!!!
Sally: OK, calm down, Martha, there's still time. Do you have a dress?
Martha: Yup, lots of dresses actually.
Sally: An evening dress. Something elegant and not too flamboyant.
Martha: Hang on.
Sally: OK. Are you gonna take pics?
Martha: Yes, just give me a moment.
Sally: <file_photo>
Martha: Nope.
Sally: Why? It's black and smart.
Martha: You're gonna look like a widow :P
Sally: <file_photo>
Martha: Better.
Sally: <file_photo>
Martha: I like this one, put it on!
Sally: <file_photo> What do you think? Isn't it too short?
Martha: I'm sure Joe will love it :P No, don't worry, this one's perfect! And it's going to look great with those red shoes you had at Mary's wedding. 
Sally: OMG thank you! I completely forgot about them. Wait a sec, I need to check if I can find them.
Martha: No worries, I've got plenty of time. Harry took the kids to the park. 
Sally: OK, I found the shoes and a purse that should look fine with them. Thank you sooo much! 
Martha: See? There was no need to panic :P 
Sally: I know, I know. Hang on, my mum is calling, probably with a looong list of brtrhday wishes.
Martha: OK, I'll be right back too. I need to put the washing machine on."
13865434,"Gina: Dear all, I’m afraid I need to bring up a difficult issue today.
Michael: What’s the matter, Gina?
Gina: There has been another burglary in the neighbourhood.
Kate: This is terrible!
Daniel: Where was it? This is the third one only this week!
Gina: Fortunately no one’s been injured. They stole a tv, two laptops and a bit of cash.
Michael: What does the police say?
Gina: Nothing yet, they’re investigating.
Kate: I bet this is some kind of a gang.
Daniel: A gang? 
Kate: Well, no one can get a tv, laptops and all this stuff on their own.
Gina: Regardless, I think it’d be a good thing to organise a neighbourhood watch.
Michael: Good thinking!
Daniel: Definitely. I know a friend who did this with his neighbours and it worked out pretty great.
Kate: How did they organise it? Did they have a schedule?
Daniel: Well, basically, they were patrolling the streets twice a day – during the day and in the evening, always in twos.
Gina: Could you please talk to your friend so they can help us organise it?
Daniel: Sure, no problem.
Kate: I think that we can also organise a fundraising for CCTV.
Michael: Hm, I’m not so sure people will be keen on this. They value their privacy, you know.
Daniel: Well, I understand, but I kind of value my safety more.
Gina: It wouldn’t hurt to bring this up at the next meeting. Saturday is it?
Kate: Yes, I can talk to them. I’m not a big fan of camera either, but in this case it may be the best solution.
Daniel: Especially as the police is not doing their job. Three burglaries in a week is three too many in my opinion.
Gina: It’s not an easy case, but I think CCTV may help to catch them if not to scare them away.
Michael: Hm, let’s wait until Saturday so we can speak to others. We can’t do anything without their approval.
Daniel: I’d happily suggest organising the neighbourhood watch."
13829032,"Tabitha: good god I woke up at 10 today and I'm feeling like shit
Flores: are you ill?
Flores: have you been drinking?
Tabitha: I went to bed at 1 a.m. and my body is acting crazy
Flores: we're old, we need good sleep schedule
Tabitha: so it's normal?
Flores: it is, I guess
Tabitha: I was worried I might have anemia or sth
Flores: don't you have very low blood pressure?
Tabitha: yes I do
Flores: have you drink your morning tea or coffee?
Tabitha: nope
Flores: :D
Flores: mystery solved
Tabitha: but I rarely start my day with them
Flores: but you are rarely energetic
Flores: you're sleepy because you have fucked up sleep schedule and you don't do anything about your low blood pressure
Tabitha: why didn't I figure it out myself
Tabitha: I'm an idiot
Flores: you're not stupid, it's easier to connect the dots of someone else's problems
Tabitha: thanks"
13731415,"Stephanie: What do you think of what's happening in the UK Parliament today?
Fred: You mean the resignations of four high-ranking ministers over the Brexit deal?
Stephanie: Yes.
Fred: Well, I don't think this deal is going to get signed. Apart from anything else it is worse than simply taking a second vote and hopefully being able to withdraw from Article 50 notice.
Stephanie: Can we even withdraw now?
Fred: Apparently we can do that. There are some opinions that say not, but in reality it would be a big relief to the other countries. 
Fred: The alternative, having no deal at all, is not only risky for the UK, but could cause big trouble to the rest of the states and of course there are quite big issues in the Eurozone already. This could tip over a very big landslide.
Stephanie: So you think we could get a better deal if we hold out?
Fred: Right now the optimal strategy would be to stay inside the EU, forget about leaving as we did not know the hurdles that would be placed by the powers that be. We need to work today with other Eurosceptic countries like Italy, Greece, Poland, Hungary and the other ex-Warsaw Pact countries.
Stephanie: To do what?
Fred: To change the EU into what we actually want it to be. To radically alter it so that it becomes what we hoped it was going to be.
Stephanie: Can that be done?
Fred: We see that the Germans have had enough of Merkel. When she goes, Macron also goes. It wouldn't take more than one of those bigger countries going the way of Italy, or a few more of the secondary states like Holland and Denmark, from the western side, to start a programme of deep change.
Stephanie: Makes sense. IN the end we all need to have some kind of co-operation in Europe.
Fred: Every Brexiteer I spoke to actually wants A European Union, they just don't want THIS European Union.
Stephanie: But is there any chance that there will be a second vote.
Fred: May has said no, but May could be finished in a week from now. If there is a General Election and all the Conservatives stand on a revote platform with UKIP and Labour saying no re-vote, then the Tories may well win. Then they would have to offer a re-vote.
Stephanie: What if we then end up staying in but other countries start defaulting and leaving us picking up the bills which was going to maybe happen to France and Germany?
Fred: That's the downside risk. Certainly if we are ever going to leave, the time to do it is now, or stay and fight for a different kind of Union which might not need countries to go crashing out of it that way. 
Stephanie: I don't know if you will every find a format that 30 countries will be able to agree on. 
Fred: Either you have to make it so that there is really not that much that they have to agree on, or you make everything so harmonised that it is really one country and everyone is unhappy with something. Where we are now is stuck in the middle, trying to agree and enforce too much, but still with options for countries to do things differently and to look after themselves. We haven't managed to deliver the European dream."
