dialog_id,summary_piece,position_index
13862975,Owen is looking for volunteers for an unpaid project in Toronto.,0
13862975,All associated costs are covered.,1
13862975,Luke might consider it.,2
13681042,Tom wants to borrow Alan's car but Alan needs to ask Sally first.,0
13813278,Sandra met Matt at Anna's birthday party yesterday.,0
13813278,She doesn't want to run into him again.,1
13731434,Fred thinks Serena won't be such a good player anymore.,0
13731434,Sienna has some free time now but she has to work during the holidays.,1
13731434,Fred is also free right now and he has no plans for the break.,2
13729776,Matt and Robert will meet on Monday at 7PM.,0
13729776,Matt will pick Robert up.,1
13729776,They will have a dinner together.,2
13680118,Caron has found The Beautiful South on her Tidal app.,0
13680118,The music brought back memories of her and Andy's past.,1
13680118,Caron enjoys Tidal.,2
13680118,Andy is interested in getting the app.,3
13680860,It is Martha's birthday.,0
13680860,He got her tickets to the theatre as a present.,1
13680860,Martha is nervous because she does not know what to wear to the theatre.,2
13680860,Sally offers some advice.,3
13865434,There has been another burglary in the neighbourhood.,0
13865434,"They stole a tv, two laptops and a bit of cash.",1
13865434,The police are investigating.,2
13865434,"Gina, Daniel, Kate and Michael will talk about a neighbourhood watch, e.g.",3
13865434,"a CCTV, at the next meeting on Saturday.",4
13829032,"Flores pointed out that Tabitha may feel sleepy, because she has distrubed sleep schedule and low blood pressure.",0
13731415,Fred would like Great Britain to stay in the European Union but according to him the EU should evolve.,0
13731415,Stephanie is sceptic if it's possible to find a solution on which 30 countries would agree.,1
13828136,Enrique starts his European tour on May 1st and his concert in Poland will be held on May 7th in Cracow.,0
13828136,The tickets cost from 180 to 300 PLN.,1
13828136,"Diane and June are buying the tickets in the ""Golden Circle"" area.",2
13828136,They will departure on 4.05 and return on 8.05.,3
13864994,Maria and Jamal visited Taj Mahal today.,0
13864994,It's a mausoleum that an emperor commissioned for his wife Mumtaz Mahal.,1
13728044,Ryan claims that May's decision to postpone voting on the Brexit deal will buy the PM an extra time for campaigning.,0
13728044,Ryan and Sam agree that there'll be the hard Brexit.,1
13728044,Ryan supposes that the Tories will topple May soon.,2
13715744,Jean and Brigitte are unhappy with the results of the referendum.,0
13715744,The turnout was 80.63% with 43.60% of votes being yes.,1
13728609,Helene had a disagreement with her manager and she reported it.,0
13728609,Helene will probably get a reprimand.,1
13728609,Kolby hopes Helene won't lose her job.,2
13730165,Jess is in NY.,0
13730165,She'll be coming to San Francisco and she will see Winston.,1
13730165,They might go skiing or skating together.,2
13730165,On Wednesday Winston will see a car.,3
13612191,Caleb will visit Zoe today at 4pm.,0
13612191,Zoe needs to reschedule private tutoring.,1
13612191,Caleb will come back at 11pm.,2
13680455,Linda has to vacate her apartment in 3 months.,0
13680455,"She refuses to ask people on Facebook if anyone has a place to rent, as Lisa suggested.",1
13715745,Sam will be at bar Fiasco from 8pm tonight.,0
13715745,Blake will join him and Barbara might also come.,1
13715745,Samantha forgot her umbrella at Jeff's place and he will return it to her in a week.,2
13682474,Karson is making spaghetti for dinner.,0
13682474,Finley wants to meet but this won't happen soon.,1
13829978,Joshua found a possum in his backyard.,0
13611482,Gary is in Glasgow and wants to know how are things at work.,0
13611482,Angela made a translation on Monica's request.,1
13611482,It is Angela's last day at work.,2
13819864,Oliver found out that they misunderstood the rules of the game.,0
13819864,Emily and Chris think they should play the game again.,1
13681861,"Allie is back and she is going to invite Will, Jenny and Fred to show them the pictures she took while away.",0
13681861,They will meet on Saturday evening.,1
13681861,Allie is going to cook.,2
13728194,Charlie passed the CLO exam and reveals to Kobe that it was possible because he had the Internet access and the person supervising didn't react on Charlie's cheating.,0
13728194,Henrique helped Charlie as well.,1
13716673,Mike is designing for Jay's friend and finishing his previous project.,0
13716673,Jay and Josh will probably see Mike next Tuesday.,1
13716673,Jay will confirm later on this week.,2
13680404,"Farrah shared his collection of fossils with the class, and Enrique was very impressed.",0
13680404,Enrique would like Farrah to show the collection for the 4th grade students as well.,1
13681833,John is going to write a song.,0
13681833,He wrote songs before but did not advertise it.,1
13681833,Paul suggested writing a song about world peace.,2
13730435,Donna is proud of Oliver for getting good grades.,0
13730435,Rachel is happy for Jay as he got into his course.,1
13730435,Rachel and Donna have a disagreement on their sons' education.,2
13812773,Joanna's doctor forbid her to do yoga because she has back problems.,0
13812773,She does ashtanga yoga.,1
13812773,She find sivanada yoga boring.,2
13812773,Paula goes to Lotus studio for classes with Tina.,3
13812773,Joanna will try this class and bring her medical files to consult with the therapist.,4
13727625,Hanna and Kate go for drinks Friday evening around 8.00.,0
13727625,They will try out a new place in the city centre.,1
13727625,They will ask Mary if she joins.,2
13730459,Jason will get home asap as his dad is angry.,0
13730459,Mom cooked pasta with spinach.,1
13716868,Martha and Violet spent 10 hours yesterday evening and today morning recording a song.,0
13716868,It's 7 minutes long.,1
13716868,Martha does all the guitars and Violet plays the drums and the piano.,2
13716868,They have composed the piece together.,3
13681371,"According to Adam, Karen's presentation at the conference was impressive.",0
13681371,Adam will visit Karen's office in March.,1
13828308,Jerry is depressed because he had an argument with his wife Janet.,0
13828308,"He was tired and stressed after work and he raised his voice at her, and they argued for 20 minutes.",1
13828308,Now she is in their bedroom and she won't talk to Jerry.,2
13729390,Sean goes through Emil's bag and finds chocolate.,0
13729390,Chocolate is for Lisa.Sean thinks it's a bad idea since Emil and Lisa are no longer a couple.,1
13862352,Shannon ordered toys for the kids.,0
13862352,Sheila could not buy gift for Maddy before the weekend.,1
13862352,"She is sick again and has a cold, but she did not go to the doctor yet.",2
13862352,Kate sent Sheila photos and they agreed that option 2 will be perfect for Maddy.,3
13862352,Kate sent also a post that Sheila should read.,4
13818732,Venus failed her practical driving test.,0
13818732,Apollo will ask a driving instructor he knows to give her lessons.,1
13681735,Filip wants that Alienor translates for him a manual of a device manufactured by his father from English to French.,0
13681735,Alienor translates the fragments of the manual and sends them back to Filip.,1
13681735,He will approach her later for some more translation.,2
13814164,Diana's mother died a year ago.,0
13814164,Danielle's mother died in 1977.,1
13814164,They used to talk every day at 9 pm.,2
13865368,Sarah called Harry.,0
13865368,She is not happy with the course or her classmates.,1
13865368,She already had an integration meeting.,2
13730897,"Sam is looking for a high level job, but is not keen on working for it.",0
13730897,Aria suggests he starts at a lower level and works his way up.,1
13815334,Anita and Annabel have a hard time looking for Christmas gifts for their parents.,0
13815334,They exchange some ideas.,1
13815334,Anita will buy her father a camera.,2
13863219,Yuette's first saxophone class was challenging.,0
13863219,Saxophones are expensive.,1
13863216,Michelle and Tania don't want to spend the weekend at home.,0
13863216,They decide to go to the new water park.,1
13727627,Kim will get her schedule from school tomorrow and she hopes it won't be exhausting.,0
13727627,She will visit Mom at Christmas time.,1
13727627,April came to help Kim organize things in her new place.,2
13828629,"Gabrielle is disappointed because Marty didn't take a good care of her car, Snowhite.",0
13828629,"Gabrielle found her place dirty, the cat sick, and its food bowl empty.",1
13828629,They argue about their relationship and break up.,2
13727763,Bobby's most annoyed by pharmaceutical companies.,0
13727763,He believes they invent diseases to make money.,1
13727763,He discovered that one company is selling mints as medicine for an illness that doesn't exist.,2
13862944,Naffy is about to do a baby scan.,0
13862944,She's angry at Julian because he's not with her.,1
13729480,Jake is in hospital.,0
13729480,Ethan and Jake went to ER because of Jake's skinned knee.,1
13729480,Jake wanted to have an X-ray.,2
13681849,Jacob is in class and needs Elisabeth to explain the difference between Backa and Banat.,0
13681864,Alie cannot find her earphones and she believes Nat has lost them.,0
13681864,Nat frequently uses Alie's earphones.,1
13828890,Ivan is afraid he will be in trouble because Charlotte bought drugs from Bill at the party and she overdosed.,0
13828890,"Ivan and Ted took her to hospital, and they called her parents.",1
13828890,The police was there and said they'll investigate it further.,2
13828890,Ivan is ready to testify against Bill.,3
13728546,Bob is in New York.,0
13728546,Elie will come and pick him up from his hotel at 9 am tomorrow.,1
13728546,He will meet her team and Barbara.,2
13827930,"Aaron has watched ""My Giant Life"" series.",0
13827930,"It was about a tall girl, who's never had a boyfriend and wants to stay a virgin till marriage.",1
13819020,"Peter, Annette, Amy, Anette and Tina are meeting up at a pub on Friday from 5 pm onwards.",0
13819020,Tina and Clare cannot come.,1
13682327-1,"Frank wants his stuff, but Allan has got only half of it, because the price was raised.",0
13682327-1,Frank has got only 20 to pay.,1
13682327-1,He wants Allan to get as much as he can for it.,2
13680187,Rachel Kavanagh is in Nottingham now.,0
13680187,Rachel Kavanagh and Caron will meet in Nottingham next time Dee travels there.,1
13680187,Rachel Kavanagh attends acting classes during the week.,2
13680187,She is trying to get an acting job in a soap opera.,3
13862965,"Dominik wants to buy a computer as a birthday gift for his girlfriend, who is a graphic designer and plays the guitar.",0
13862965,Marek comes up with three suitable offers.,1
13819911,"Todays results show that Matt and Oliver got into Stanford University, Peter did not.",0
13810153,"Mary and Meg moved tonight's meeting at 7 at Grand Cinema, as the earliest option at 8.30 was too late and Meg needs to go to school early tomorrow.",0
13810153,They'll meet tomorrow at Grand Cinema.,1
13864770,Lisa's on a verge of a nervous breakdown because of domestic violence she's been going through for years.,0
13864770,That's why Glesny wasn't shocked by her behaviour when Mrs Owens had shouted at her.,1
13814769,Anastasia sent her new school photos to Darrell.,0
13682592,"Hayden will buy tickets for the football game for himself, Lori and Andrea.",0
13682592,Hayden and Lori will wear their jerseys.,1
13682592,Pepper distroyed Lori's old jersey.,2
13828591,Charles will go with Victor to the museum tonight.,0
13828591,There is an opening of an exhibition about cubism.,1
13828591,"There'll be food, music and VIPs.",2
13810807,Mike will stay at Henry's place when he's on a business trip to keep Betsy company.,0
13810807,She has pancreatitis and needs to take her medications every two days.,1
13729104,"Joseph lived in Brooklyn, New York.",0
13729104,Henry is offered to go there for an exchange.,1
13729104,One should earn about 80000$ a year to live there.,2
13729104,That's why Joseph moved out.,3
13864732,"Oli, Jacob and Marcia have to prepare for a very hard statistics exam.",0
13864732,"Last year, people had only one minute to answer each question and then it disappeared.",1
13810094,"Ben has just landed back in town, is at the office now and will be back home around 6:00 or 7:00.",0
13810094,Nora will order Indian food for him from the new restaurant at the corner.,1
13731363,Milena has a dilema about changing her job.,0
13731363,Claudia will do a little reconnaissance about the other company that want to hire Milena.,1
13731297,Alfred helps his mother Hetty create a shortcut to a link in her Hotmail.,0
13611754,Ruth and Sammy are meeting Linda for dinner on Friday 12th at her place.,0
13611754,Before dinner Sammy's going to the hairdresser.,1
13611754,They have a wedding on Saturday.,2
13611754,"Sammy eats neither red meat nor duck, so Linda will have to cook something else.",3
13611754,Linda is bringing dessert.,4
13827952,Carolyn calls people and asks for donations.,0
13827952,"Phoebe can't afford to make a donation this time, so she won't pick up the phone.",1
13680641,Brett sends Ilya the agenda for today.,0
13680641,There is a conference call at 9 with the Generosity foundation regarding grant application.,1
13680641,The company Christmas party has been postponed to Thursday.,2
13863185,Hilda and Carl will meet at Starbucks at 4 pm on Sunday.,0
